user_id,cheese_id,buy_count,total_price
2391853,p8,1,4600
1799897,p8,1,4600
1614947,p10,1,5500
1614947,p10,1,5500
1614947,p14,5,24500
1614947,p3,1,3990
6523993,p10,1,5500
6523993,p14,5,24500
6523993,p14,5,24500
389215,p10,1,5500
389215,p9,1,4600
389215,p9,1,4600
6323711,p17,2,12480
6323711,p17,2,12480
6323711,p4,1,4165
4604267,p22,1,11900
1915490,p22,1,11900
652746,p22,1,11900
382566,p22,1,11900
382566,p22,1,11900
382566,p22,1,11900
272515,p22,1,11900
4163349,p16,7,32200
4163349,p33,1,6400
4163349,p49,1,7200
4163349,p46,1,8900
4163349,p42,1,6800
6170791,p16,5,23000
6170791,p7,1,7900
6170791,p49,3,21600
4298482,p46,1,8900
6202368,p11,1,5500
4902864,p11,1,5500
4129481,p11,1,5500
6201197,p11,1,5500
6201197,p65,1,5900
6201197,p65,1,5900
6201197,p8,1,4600
6201197,p8,1,4600
6468390,p11,1,5500
4200308,p11,1,5500
166615,p24,1,8240
4458784,p34,1,5900
4458784,p34,1,5900
4458784,p12,1,8400
1626216,p34,1,5900
3453039,p34,3,17700
3183397,p34,1,5900
3183397,p34,1,5900
2973972,p34,1,5900
2973972,p23,3,21600
1264114,p34,1,5900
6015294,p34,1,5900
5115618,p34,1,5900
5115618,p23,2,14400
5115618,p12,1,8400
5115618,p12,1,8400
5843043,p34,1,5900
2860104,p34,1,5900
2860104,p34,1,5900
2860104,p34,1,5900
2860104,p3,2,7980
2860104,p3,2,7980
5058880,p34,1,5900
5058880,p3,1,3990
5058880,p3,1,3990
3193829,p34,1,5900
4445493,p34,2,11800
1482759,p34,1,5900
1482759,p23,1,7200
3710295,p34,1,5900
3710295,p4,1,4165
3710295,p63,2,25000
3710295,p63,3,37500
3801882,p18,10,49000
3801882,p18,14,68600
3801882,p18,8,39200
3801882,p5,1,6800
1985410,p18,2,9800
1985410,p18,2,9800
4162068,p18,1,4900
4162068,p18,1,4900
1069308,p18,2,9800
1069308,p23,2,14400
1422321,p18,2,9800
1422321,p26,2,14800
1422321,p4,2,8330
797287,p18,2,9800
5793502,p18,1,4900
5513808,p18,2,9800
5513808,p29,2,16800
3912631,p18,2,9800
3912631,p3,2,7980
3912631,p49,1,7200
3912631,p49,1,7200
6262111,p18,6,29400
1546678,p18,6,29400
1546678,p51,1,7500
1546678,p46,1,8900
1546678,p33,2,12800
1546678,p42,1,6800
5331560,p18,1,4900
4675171,p18,2,9800
192263,p18,5,24500
5463460,p18,5,24500
5463460,p7,2,15800
2156621,p18,2,9800
2695695,p18,2,9800
2695695,p5,1,6800
753829,p18,2,9800
1870172,p18,1,4900
1870172,p38,1,5130
4665716,p18,1,4900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
273992,p39,1,5900
5557287,p39,1,5900
5557287,p22,1,11900
5782272,p52,2,11400
6122634,p52,1,5700
6488971,p10,1,5500
149977,p10,2,11000
149977,p10,2,11000
2495184,p10,1,5500
2495184,p10,1,5500
2495184,p10,1,5500
2495184,p11,1,5500
3166608,p10,1,5500
568519,p10,2,11000
4742690,p10,1,5500
672444,p26,1,7400
672444,p33,1,6400
2170592,p26,1,7400
5213754,p26,4,29600
5213754,p4,1,4165
5213754,p4,2,8330
5213754,p4,10,41650
4054951,p26,1,7400
4054951,p7,1,7900
947652,p26,1,7400
3943654,p10,1,5500
3943654,p22,1,11900
5651871,p10,1,5500
5651871,p10,1,5500
5651871,p6,1,6600
5651871,p10,1,5500
5651871,p10,1,5500
3350826,p10,1,5500
2069074,p10,1,5500
2366211,p68,1,12500
2366211,p68,1,12500
2366211,p3,1,3990
2366211,p3,1,3990
2366211,p9,4,18400
2366211,p1,1,14900
2366211,p7,1,7900
2366211,p3,1,3990
2366211,p1,1,14900
2366211,p1,1,14900
2366211,p1,1,14900
2366211,p14,1,4900
2366211,p26,1,7400
2366211,p26,1,7400
2366211,p26,1,7400
2366211,p29,1,8400
2366211,p1,1,14900
2366211,p1,1,14900
2366211,p1,1,14900
2366211,p26,1,7400
2366211,p26,1,7400
2366211,p10,1,5500
2366211,p1,1,14900
2366211,p1,1,14900
2366211,p1,1,14900
2366211,p1,1,14900
2366211,p14,1,4900
2366211,p14,1,4900
3514529,p39,1,5900
3514529,p9,1,4600
4372748,p39,1,5900
4330246,p39,1,5900
5607521,p39,1,5900
916547,p39,1,5900
916547,p22,1,11900
3563912,p39,1,5900
4721795,p22,1,11900
4721795,p2,1,3870
4721795,p2,2,7740
4721795,p2,2,7740
1013112,p22,1,11900
1013112,p5,1,6800
5104669,p22,2,23800
5104669,p5,1,6800
5104669,p11,1,5500
3659610,p22,1,11900
3659610,p5,1,6800
3659610,p5,1,6800
4667056,p22,1,11900
4667056,p23,1,7200
3967926,p22,1,11900
6148558,p22,1,11900
5021418,p22,1,11900
5021418,p28,1,15900
3584777,p22,1,11900
6303060,p22,1,11900
