ranking,brand,category,types,matching,texture,img
33,18,2,1,"피자, 파스타, 와인, 카나페",4,https://img-cf.kurly.com/shop/data/goods/1595490964205l0.jpg
48,30,3,1,"샐러드, 카나페, 라자냐, 파스타",1,https://img-cf.kurly.com/shop/data/goods/1531990784418l0.jpg
16,19,1,1,"카프레제,파스타,피자",1,https://img-cf.kurly.com/shop/data/goods/1526632903783l0.jpg
57,9,3,1,"샐러드, 과일",1,https://img-cf.kurly.com/shop/data/goods/1523513645206l0.jpg
47,20,6,1,"와인, 맥주, 스프, 파스타",2,https://img-cf.kurly.com/shop/data/goods/1577777055511l0.jpg
32,7,2,1,"피자, 파스타, 스테이크, 배, 무화과, 샐러리",2,https://img-cf.kurly.com/shop/data/goods/151073128727l0.jpg
61,39,4,1,"과일, 맥주, 와인, 위스키",2,https://img-cf.kurly.com/shop/data/goods/1531114195123l0.jpg
54,4,9,1,"타파스, 핑거푸드, 샐러드, 샤퀴테리, 멤브리요, 와인, 맥주",3,https://img-cf.kurly.com/shop/data/goods/1597801807938l0.jpg
49,2,6,1,"크래커, 핑거 푸드",2,https://img-cf.kurly.com/shop/data/goods/1528104005658l0.jpg
69,3,7,1,"빵, 감자, 와인, 막걸리, 김가루",4,https://img-cf.kurly.com/shop/data/goods/1477568074666l0.jpg
67,39,4,1,"빵, 잼, 와인, 맥주",3,https://img-cf.kurly.com/shop/data/goods/1563948515444l0.jpg
17,15,1,1,"토마토,바질",1,https://img-cf.kurly.com/shop/data/goods/1487655849283l0.jpg
50,34,3,1,"샐러드, 라자냐, 크로스티니, 키쉬, 치즈케이크",1,https://img-cf.kurly.com/shop/data/goods/1494819678578l0.jpg
64,39,4,1,"팬케이크, 잼, 와인, 맥주",3,https://img-cf.kurly.com/shop/data/goods/1563949642720l0.jpg
31,16,11,1,"샐러드, 파스타, 화이트와인",1,https://img-cf.kurly.com/shop/data/goods/1600316931451l0.jpg
7,22,11,1,"샐러드, 올리브오일, 발사믹식초,",1,https://img-cf.kurly.com/shop/data/goods/1548133518976l0.jpg
45,31,6,1,"와인, 견과류, 파스타, 샐러드",2,https://img-cf.kurly.com/shop/data/goods/145371157091l0.jpg
1,11,11,1,"채소, 발사믹식초, 견과류",1,https://img-cf.kurly.com/shop/data/goods/1515396236580l0.jpg
71,33,2,1,"샐러드, 파스타, 감자",2,https://img-cf.kurly.com/shop/data/goods/1490762460389l0.jpg
56,37,2,1,"와인, 맥주, 피자, 크래커, 파스타, 딥소스",2,https://img-cf.kurly.com/shop/data/goods/1558944332697l0.jpg
30,35,1,1,"샌드위치, 카프레제, 피자",1,https://img-cf.kurly.com/shop/data/goods/157588271423l0.jpg
27,9,1,1,"올리브오일, 소금",1,https://img-cf.kurly.com/shop/data/goods/154882690843l0.jpg
46,23,5,1,"파스타, 그라탕, 샐러드, 피자, 와인, 발사믹 식초",3,https://img-cf.kurly.com/shop/data/goods/1597383414438l0.jpg
