review_no,category,brand,cheese_name,review_title,review_detail,review_views
111,4,39,헤리티지 체다,아이가 좋아해서 ,자주 삽니다 ㅎㅎ 샐러드에도 제격!,4
153,4,39,헤리티지 체다,익숙한맛 ,익숙해서 그런지 여러종류 시켰는데 체다가 제일맛있네요,15
614,10,14,에멘탈 치즈,예쁜 구멍이 뽕뽕 ,있는 향기도 맛도 질감도 쫀득한 맛있는 에멘탈치즈~~치즈는 사랑입니당♡.반은 먹어버린 사진이네요.^^,7
313,5,39,사베치오 파마산,오 ,깊은맛이 나요 맛나뇨,16
346,5,39,사베치오 파마산,맛있어요 ,깨끗한 맛이어서 좋아요.,20
299,1,9,버팔로 모짜렐라,맛있어요 ,맛있어요 ,5
113,4,39,헤리티지 체다,후기가 좋아서 ,후기가 괜찮은것같아서 구입했어용,4
791,2,7,고르곤졸라 피칸테,맛있어요 ,스테이크에 고르곤졸라 치즈와 금귤쨈 올려먹으니 너무 맛있어요. 물론 간단한 또르띠아 치즈 피자에 꿀과 올려 먹어도 맛있고요.,14
922,8,32,덴마크 브리 치즈,샌드위치 ,용으로 사봤어요 기대,6
436,3,28,리코타,너무 좋아요 ~ ,정말 꾸덕하거 제가 너무 좋아하는 ,12
416,3,28,리코타,재구매 ,한동안 품절이라 재입고 기다리다 샀어요 집에서 만든 것처럼 담백해서 빵이랑 간단히 먹기 좋아요,13
344,5,39,사베치오 파마산,특이해요 ,일반 파마산보다 훨씬 부드럽고 풍미가 독특해요. 맛있긴 한데 파르미지아노 넣었을 때 기대하는 맛이랑 좀 차이가 있을 수 있다는 걸 주의해야할듯합니당.. 까르보나라는 보통 파르미지아노가 더 맛있더라구요 저는..ㅎㅎ,12
568,7,32,덴마크 까망베르 치즈,여태먹은것중 ,가장 맛있는 까망베르였어요,10
117,4,39,헤리티지 체다,최애 치즈 ,진하고 짭짤해요ㅎㅎ처음 먹고 깜짝놀랐어요 원래도 치즈좋아하는데 크기도 괜찮고 크래커만드는데 잘 활용했어요,4
483,3,28,리코타,괜찮았어요 ,제가 생각한 쫀쫀하고 식당에서 먹은 단 치즈는 아니라 당황 근데 먹어보니 부드럽고 고소해서 샐러드용으로 최고,1
713,2,7,고르곤졸라 피칸테,늘 ,주문하는 고르곤졸라 피칸테,2
202,1,9,버팔로 모짜렐라,버팔로 ,치즈가 부드럽고 맛있네요,11
401,3,28,리코타,로메인과 견과류랑 ,로메인과 견과류 넣고 계란에 올리브오일 뿌리고 발사믹으로 마무리! 리코타 요 브랜드 첨 사보는데 좋네요. 푸석하지 않아서 좋아요.,12
208,1,9,버팔로 모짜렐라,음.. ,끝맛이 뭔가 특이.. 이상한 맛이 나네요ㅠㅠ 부라타치즈 품절이라 이거 시켰는데 아쉽네용,6
657,10,14,에멘탈 치즈,맛나요 ,뭐 항상그대루 맛 있죠,4
272,1,9,버팔로 모짜렐라,샐러드만들기 추천 ,부라타치즈가 품절이라서 버팔로 모짜렐라로 샐러드를 만들어봤어요. 퐁신퐁신한 질감이라서 부라타치즈와 유사해요. 가격대비로 봤을 때도 괜찮은 것 같아요,16
756,2,7,고르곤졸라 피칸테,만족 ,피칸테 만족합니다 ~,5
331,5,39,사베치오 파마산,파스타용으로 ,딸 요청으로 구매. 정통 까르보나라는 달걀과 파마산치즈로... 남은건 크래드에 잘 싸둠.,15
636,10,14,에멘탈 치즈,에멘탈 ,구멍이숑숑 무지크네요그램수는같겠죠?,13
972,8,32,덴마크 브리 치즈,캠핑가서 브리치즈구이 해먹었어요 ,가격대비 맛도 괜찮은듯해요,10
917,8,32,덴마크 브리 치즈,브리치즈 ,넘 좋아하는 브리치즈 맛있어요,3
851,6,24,110년 전통 고다치즈 3종,에이지드랑 일반 둘다 먹어봤어요 ,지난 번에 에이지드 시켰는데 약간 씁쓸한..? 치즈 향이 강한 것 같아서 이번엔 일반으로 시켰어요,22
674,10,14,에멘탈 치즈,피자에 넣어 먹었어용 ,풍미가 엄청 훅 올라오는 건 없지만,6
803,6,24,110년 전통 고다치즈 3종,무난 ,와인 안주로 종종먹어요.,1
695,10,14,에멘탈 치즈,두번째 ,두번째구매입니다. 적당히 먹기 좋은 맛이예요. 여행가서 먹을 예정입니다,5
900,8,32,덴마크 브리 치즈,좋아요! ,항상 주문하던거에요 할인일때 사서 저렴하게 잘산것 같아요~~,3
988,8,32,덴마크 브리 치즈,재구매 ,샌드위치에 정말 좋아요,4
766,2,7,고르곤졸라 피칸테,치즈향이 강해요 ,생각보다 향이 강해서 놀랐어요,7
529,7,32,덴마크 까망베르 치즈,치즈구이로 으뜸! ,"살짝 칼집내고 견과류와 건과일, 꿀 뿌려 오븐이나 에프에 살짝 구워주면 아주 눈돌아가는 맛에 끊을 수가 없음",5
411,3,28,리코타,좋아요!! ,맛있어요!!!!!!,0
396,5,39,사베치오 파마산,맛나요~~ ,파스타에 갈아 넣으니~~살살 녹아요!!,4
731,2,7,고르곤졸라 피칸테,항상 사는 보편적인 고르곤졸라 ,향도 은은하게 잘 나고 좋은 것 같아요 항상 구매하는 제품이에요,6
1,0,0,블루치즈 크림치즈,치즈맛 찐해요 ,꼬소한 치즈 냄새가 확 나요,4
268,1,9,버팔로 모짜렐라,빨리 먹고 싶네요 ,컬리에서 주문을 했네요,1
404,3,28,리코타,맛있어요 ,부드럽고 아주 좋네요,6
82,0,0,블루치즈 크림치즈,잘 먹고 있어요 ,크림치즈 치고 텍스춰가 살짝 하드하지만...잘 먹고 있어요,4
864,6,24,110년 전통 고다치즈 3종,쏘쏘 ,일단 그냥 먹어보고 샐러드랑 같이 와서 샐러드랑도 먹음.,10
827,6,24,110년 전통 고다치즈 3종,고다 ,고다 너무 좋아해요,12
79,0,0,블루치즈 크림치즈,고소~ ,고소하고 맛나는데 쫌 작은양이 있슴~,5
955,8,32,덴마크 브리 치즈,좋아요:) ,부서지는 듯하면서도 찰진 특이한 질감에 브리치즈 특유의 쿰쿰한 뒷향이 살아있어요. 카스텔로 제품이 보기보다 후각적이나 미각적인 풍미가 강한거 같아요. 생으로 먹기에 식감은 약간 플라스틱 지우개 같은 느낌은 있습니다. 그래서 약간 녹이는 듯한 상태로 먹을때 식감이 더 좋아요.,14
884,6,24,110년 전통 고다치즈 3종,부드럽고 짜지 않은 치즈 ,많이 짜지 않고 되게 부드럽게 잘라지는 gouda cheese이에용,7
12,0,0,블루치즈 크림치즈,빵에도 샐러드도 좋아요 ,빵에 간편하게 발라먹고 와인안주로 먹고 좋네요,6
870,6,24,110년 전통 고다치즈 3종,아주 좋아요~ ,맛있습니다. 다양하게 쓸것같아요~,14
582,7,32,덴마크 까망베르 치즈,"버섯풍미도 강하고 맛이 좋은제품인데, 항상 녹은... ",렌지에 돌리지않고 그냥 포장 벗긴 상태인데 플라스틱포장지에도 치즈물(?)이 흥건히 고여 굳은상태였어요. 비닐은 딱 붙은상태..,17
33,0,0,블루치즈 크림치즈,맛있어요 ,좋아요 좋아요...,9
846,6,24,110년 전통 고다치즈 3종,맛있네요 ,"서울** 슬라이스 고다치즈만 먹다가,",6
724,2,7,고르곤졸라 피칸테,꼬릿꼬릿 ,좋아합니다~~~최애 술안주,3
655,10,14,에멘탈 치즈,아직 ,맛있었음 좋겠습니당,17
66,0,0,블루치즈 크림치즈,호불호 ,남편은 인상써요 ㅎㅎㅎ,24
